RowID,Active,Name,Address
DBBS,true,Bellbird Park,"270 Settlement Rd, Drouin, VIC"
DBB3,true,Bellbird Park Field 3,"270 Settlement Rd, Drouin, VIC"
DBBF,true,Bellbird Park Grass Hockey Fields,"270 Settlement Rd, Drouin, VIC"
DCCS,true,Chairo Christian School,"76 Balfour Rd, Drouin, VIC"
DSC,true,Drouin Secondary College ,"52 Main South Rd, Drouin, VIC"
DSCS,true,Drouin Secondary College Stadium,"52 Main South Rd, Drouin, VIC"
DSPS,true,Drouin South Primary School,"3061 Westernport Rd, Drouin South VIC 3818"
LPK,true,Lardner Park,"155 Burnt Store Rd, Lardner, VIC"
WLHT,true,Logan Park (inside Harness Track),"19 Howitt Street, Warragul, VIC"
MS34,true,Stadium 34 Moe,
WSTJ,true,St Joseph's Primary School,"167 Burke St, Warragul, VIC"
WSPJ,true,St Paul's Anglican Junior Stadium,"150 Bowen St, Warragul, VIC"
WSPS,true,St Paul's Anglican Senior Stadium,"150 Bowen St, Warragul, VIC"
WTPB,true,The Alley,"43 Queen St, Warragul, VIC"
WTWC,true,The Warragul Club,"55 Victoria St, Warragul, VIC"
VTBC,true,Venue To Be Confirmed,""
WBC,true,Warragul Badminton Club,"2 Galloway St, Warragul, VIC"
WBL,true,Warragul Lawn Bowls,"1-19 Anderson St, Warragul, VIC"
WLC,true,Warragul Leisure Centre,"21 Burke St, Warragul, VIC"
WNC,true,Warragul Netball Courts,"70 Burke St, Warragul, VIC"
WRCA,true,Warragul Regional College Asphalt Courts,"37 Burke St, Warragul, VIC"
WRCM,true,Warragul Regional College Macaulay Field,"37 Burke St, Warragul, VIC"
WRCO,true,Warragul Regional College Oval,"37 Burke St, Warragul, VIC"
WSC,true,Warragul Regional College Stadium,"37 Burke St, Warragul, VIC"
WTC,true,Warragul Tennis Courts,"24 Burke St, Warragul, VIC"
